sheet_index,sheet_name,file,n_rows,n_cols,title_cell
0,Contents,sheet_000.csv,105,3,
1,Table 1,sheet_001.csv,39,7,"Table 1: Resident population by sex, Province, District and population density"
2,Table 2,sheet_002.csv,39,8,"Table 2: Resident population by residence, Province, and District"
3,Table 3,sheet_003.csv,28,8,Table 3: Number and population share (%) of some specific interventions target groups by sex
4,Table 4,sheet_004.csv,13,5,Table 4: Population change by sex and annual growth rate
5,Table 5,sheet_005.csv,22,11,Table 5: Five-years age group by sex distribution (Counts) by Area of residence
6,Table 6,sheet_006.csv,7,8,Table 6: Population by nationality and Province
7,Table 7,sheet_007.csv,15,8,Table 7: Resident population by religious affiliation and residence
8,Table 8,sheet_008.csv,20,8,Table 8: Population aged 15 years and above by language(s) of literacy[1]
9,Table 9,sheet_009.csv,41,8,"Table 9: Population by highest level of educational attended[1], sex and residence"
10,Table 10,sheet_010.csv,33,8," Table 10: Population aged 3 year and above by highest level of educational attended, sex and residence"
11,Table 11,sheet_011.csv,11,8,Table 11: Population aged 7-18 years by school attendance status
12,Table 12,sheet_012.csv,11,8,Table 12: Population aged 6-17 years by school attendance status
13,Table 13,sheet_013.csv,39,11,Table 13: Percentage of children aged 7-12 years currently attending school by sex and residence
14,Table 14,sheet_014.csv,41,11,Table 14: Percentage of children aged 6-11 currently attending school by sex and residence
15,Table 15,sheet_015.csv,40,11,Table 15: Percentage of children aged 13-18 years currently attending school by sex and residence
16,Table 16,sheet_016.csv,40,11,Table 16: Percentage of children aged 12-17 currently attending school by sex and residence
17,Table 17,sheet_017.csv,13,11,Table 17: Primary and secondary age population and corresponding number of students
18,Table 18,sheet_018.csv,25,8,"Table 18: Gross, net attendance rates in primary school level (6-11 years) by sex and residence"
19,Table 19,sheet_019.csv,23,8,"Table 19: Gross, net attendance rates in secondary education (12-17 years) by sex and residence"
20,Table 20,sheet_020.csv,47,11,Table 20: Number and % of the population who used internet by province and age groups
21,Table 21,sheet_021.csv,39,11,Table 21: Percentage of the population who used internet by district according to age groups
22,Table 22,sheet_022.csv,54,7,Table 22: Distribution of Population (10+ Years) who used internet by main place of access
23,Table 23,sheet_023.csv,47,11,Table 23: Number and % of population owning a mobile phone by Province and age groups
24,Table 24,sheet_024.csv,29,11,Table 24: Distribution of the population owning mobile phone by type of mobile phone
25,Table 25,sheet_025.csv,39,8,Table 25: Percentage of private households whose at least one member owns a mobile phone
26,Table 26,sheet_026.csv,20,8,Table 26: Percentage of single/never married population aged 12 and above by age groups and sex
27,Table 27,sheet_027.csv,54,10,"Table 27: Population aged 12 and above by marital status, sex and age groups"
28,Table 28,sheet_028.csv,39,11,"Table 28: Prevalence of medical insurance by district, residence and sex"
29,Table 29,sheet_029.csv,41,9,Table 29: Population who have a medical insurance by main type of insurance
30,Table 30,sheet_030.csv,12,8,Table 30: Lifetime migration matrix by Province[1]
31,Table 31,sheet_031.csv,10,8,Table 31: Recent migration matrix by Province
32,Table 32,sheet_032.csv,40,9,Table 32: Net lifetime and net recent migration by province and district
33,Table 33,sheet_033.csv,9,6,Table 33: Natality and fertility indicators among women aged 10 years and above
34,Table 34,sheet_034.csv,8,6,Table 34: Fertility indicators among the women aged 15-49 years
35,Table 35,sheet_035.csv,23,10,"Table 35: Both Sexes Abridged Life Table, Rwanda 2022"
36,Table 36,sheet_036.csv,23,10,"Table 36: Male Abridged Life Table, Rwanda 2022"
37,Table 37,sheet_037.csv,23,10,"Table 37: Female Abridged Life Table, Rwanda 2022"
38,Table 38,sheet_038.csv,39,11,"Table 38: Children (aged 0-17 years) by sex, Province, District and residence"
39,Table 39,sheet_039.csv,40,11,"Table 39: Share of the children in the population by district, sex and residence"
40,Table 40,sheet_040.csv,39,11,"Table 40: Birth registration rate by district, sex, and residence"
41,Table 41,sheet_041.csv,14,8,Table 41: Children by survivorship of biological parents and sex
42,Table 42,sheet_042.csv,14,8,Table 42: Children by survivorship of biological parents by residence
43,Table 43,sheet_043.csv,8,12,Table 43: Children by cohabitation status with biological parents by sex and residence
44,Table 44,sheet_044.csv,39,11,"Table 44: Number of youth (16-30 years) by district, sex and residence"
45,Table 45,sheet_045.csv,40,11,"Table 45: Share of the youth in the population by district, sex and residence"
46,Table 46,sheet_046.csv,20,11,"Table 46: Youth by marital status, sex, age group and residence"
47,Table 47,sheet_047.csv,39,8,"Table 47: Number and Percentage of women by Province, District and residence"
48,Table 48,sheet_048.csv,39,8,Table 48: Household headship rate among females and males (12+ years) by District
49,Table 49,sheet_049.csv,39,11,"Table 49: Number of elderly by sex by province, district and residence"
50,Table 50,sheet_050.csv,39,11,"Table 50: Share of the elderly in the population by sex and by district, sex and residence"
51,Table 51,sheet_051.csv,20,5,Table 51: Distribution (%) of elderly people by marital status by sex and residence
52,Table 52,sheet_052.csv,39,11,"Table 52: Prevalence (%) of disability among the elderly by district, sex and residence"
53,Table 53,sheet_053.csv,39,8,"Table 53: Proportion of the elderly by main type of medical insurance, sex and residence"
54,Table 54,sheet_054.csv,39,8,Table 54: Number and Percentage of population aged 5+ years with disability by district
55,Table 55,sheet_055.csv,12,11,"Table 55: Prevalence of disability by type, sex and residence"
56,Table 56,sheet_056.csv,39,11,Table 56: Prevalence of medical insurance among the population with/without disability by district
57,Table 57,sheet_057.csv,21,8,Table 57: Current school attendance rate in children (6-17) with/without disabilities by province
58,Table 58,sheet_058.csv,39,5,"Table 58: Private households (Number) by province, district and residence"
59,Table 59,sheet_059.csv,39,8,Table 59: Number and Percentage of the households headed by women by district
60,Table 60,sheet_060.csv,39,7,"Table 60: Mean size of the private households by district, sex of the household head and residence"
61,Table 61,sheet_061.csv,39,7,"Table 61: Mean number of persons by bedroom by sex of the household head, district and residence"
62,Table 62,sheet_062.csv,39,7,Table 62: Percentage of households with separate bedrooms for girls and boys by district
63,Table 63,sheet_063.csv,38,10,Table 63: Distribution (%) of the private households by type of habitat and District
64,Table 64,sheet_064.csv,38,11,Table 64: Distribution of the private housing units by tenure of household and District
65,Table 65,sheet_065.csv,38,8,Table 65: Distribution of the private housing units by main material of the roof and district
66,Table 66,sheet_066.csv,38,12,Table 66: Distribution of the private housing units by main material of the wall and District
67,Table 67,sheet_067.csv,38,12,Table 67: Distribution of the private housing units by main material of the floor and District
68,Table 68,sheet_068.csv,39,11,Table 68: Percentage of private households that have access to improved drinking water by district
69,Table 69,sheet_069.csv,38,15,Table 69: Distribution of the private households by main source of drinking water by district
70,Table 70,sheet_070.csv,39,10,Table 70: Distribution (%) of the private households by type of toilet facility and district
71,Table 71,sheet_071.csv,39,11,Table 71: Percentage of private households that use unshared improved toilet facility by District
72,Table 72,sheet_072.csv,38,11,Table 72: Distribution of the private households by main mode of waste disposal and district
73,Table 73,sheet_073.csv,38,11,Table 73: Distribution (%) of the private households by main mode of sewage disposal by Province and District
74,Table 74,sheet_074.csv,39,8,Table 74: Proportion of households that have access to electricity by sex of the household head and residence
75,Table 75,sheet_075.csv,38,14,"Table 75: Distribution of private households by main source of energy for lighting, Province and District"
76,Table 76,sheet_076.csv,38,9,"Table 76: % of the private households by main source of energy for cooking, Province and District"
77,Table 77,sheet_077.csv,40,7,"Table 77: Percentage of private households[1], which have and used energy saving stove by District"
78,Table 78,sheet_078.csv,39,19,Table 78: Percentage of private households possessing specific assets by Province and District
79,Table 79,sheet_079.csv,40,11,"Table 79: Number and Percentage of private agricultural households by Province, District and residence"
80,Table 80,sheet_080.csv,40,11,Table 80: Number and Percentage of private agricultural households by district and sex of hosehold head
81,Table 81,sheet_081.csv,39,7,Table 81: Percentage of private households practicing different types of agricultural activities by district 
82,Table 82,sheet_082.csv,38,15,Table 82: Percentage of households cultivating different types of crops by Province and District
83,Table 83,sheet_083.csv,38,15,Table 83: Number of private crop farming households cultivating different types of crops by district
84,Table 84,sheet_084.csv,38,10,Table 84: Percentage of crop farming households producing different types of vegetables by district
85,Table 85,sheet_085.csv,38,11,Table 85: % of private households rearing different types of livestock by District (urban and rural)
86,Table 86,sheet_086.csv,38,11,Table 86: Percentage of private households rearing different types of livestock by District (Urban) 
87,Table 87,sheet_087.csv,38,11,Table 87: Percentage of private households rearing different types of livestock by District (Rural) 
88,Table 88,sheet_088.csv,38,11,Table 88: Number of private households rearing different types of livestock by District
89,Table 89,sheet_089.csv,38,10,Table 89: Different types of livestock owned by the private households by District (Urban + Rural)
90,Table 90,sheet_090.csv,38,10,Table 90: Livestock owned by the private households by livestock type and District (Urban)
91,Table 91,sheet_091.csv,38,10,Table 91: Livestock owned by the private households by livestock type and District (Rural)
92,Table 92,sheet_092.csv,35,11,"Table 92: Evolution of the Rwanda’s population (in millions) by area of residence, 2022-2052"
93,Table 93,sheet_093.csv,33,8,"Table 93: Evolution of the population density by residence (medium projection), 2022-2052"
94,Table 94,sheet_094.csv,53,7,"Table 94: Changes in key fertility indicators by projection scenario, 2022-2052"
95,Table 95,sheet_095.csv,53,7,"Table 95: Evolution of key mortality indicators by projection scenario, 2022-2052"
96,Table 96,sheet_096.csv,42,8,Table 96: City of Kigali population distribution by district and sector
97,Table 97,sheet_097.csv,113,8,Table 97: Southern Province population distribution by district and sector
98,Table 98,sheet_098.csv,107,8,Table 98: Western Province population distribution by district and sector
99,Table 99,sheet_099.csv,98,8,Table 99: Northern Province population distribution by district and sector
100,Table 100,sheet_100.csv,106,8,Table 100: Eastern Province population distribution by district and sector
