year,quarter,sex,status,value
2019,Q1,All,Employed population aged 16+,3186050.5463436916
2019,Q2,All,Employed population aged 16+,3258934.879428369
2019,Q3,All,Employed population aged 16+,3152832.115064032
2019,Q4,All,Employed population aged 16+,3405877.0383200026
2020,Q1,All,Employed population aged 16+,3568934.1611348246
2020,Q2,All,Employed population aged 16+,3199104.165283203
2020,Q3,All,Employed population aged 16+,3667611.013645172
2020,Q4,All,Employed population aged 16+,3407788.9029749664
2021,Q1,All,Employed population aged 16+,3204924.141860962
2021,Q2,All,Employed population aged 16+,3133606.658269882
2021,Q3,All,Employed population aged 16+,3179124.018924713
2021,Q4,All,Employed population aged 16+,3633131.595502615
2022,Q1,All,Employed population aged 16+,3585650.7928733826
2022,Q2,All,Employed population aged 16+,3317267.515346527
2022,Q3,All,Employed population aged 16+,3711253.6562436465
2022,Q4,All,Employed population aged 16+,3571236.125681078
2023,Q1,All,Employed population aged 16+,3803942.11794281
2023,Q2,All,Employed population aged 16+,3984501.733938217
2023,Q3,All,Employed population aged 16+,3972193.0716018677
2023,Q4,All,Employed population aged 16+,4074629.1306991577
2024,Q1,All,Employed population aged 16+,4365565.9443359375
2024,Q2,All,Employed population aged 16+,4304439.991333008
2024,Q3,All,Employed population aged 16+,4523412.98210144
2024,Q4,All,Employed population aged 16+,4585316.174636841
2025,Q1,All,Employed population aged 16+,4730124.006851196
2025,Q2,All,Employed population aged 16+,4581575.010360718
2025,Q3,All,Employed population aged 16+,4888920.7785720825
2025,Q4,All,Employed population aged 16+,4890198.40511322
2019,Q1,All,Total,100.0
2019,Q2,All,Total,100.0
2019,Q3,All,Total,100.0
2019,Q4,All,Total,100.0
2020,Q1,All,Total,100.0
2020,Q3,All,Total,100.0
2020,Q4,All,Total,100.0
2021,Q1,All,Total,100.0
2021,Q2,All,Total,100.0
2021,Q3,All,Total,100.0
2021,Q4,All,Total,100.0
2022,Q1,All,Total,100.0
2022,Q2,All,Total,100.0
2022,Q3,All,Total,100.0
2022,Q4,All,Total,100.0
2023,Q1,All,Total,100.0
2023,Q2,All,Total,100.0
2023,Q3,All,Total,100.0
2023,Q4,All,Total,100.0
2024,Q1,All,Total,100.0
2024,Q2,All,Total,100.0
2024,Q3,All,Total,100.0
2024,Q4,All,Total,100.0
2025,Q1,All,Total,100.0
2025,Q2,All,Total,100.0
2025,Q3,All,Total,100.0
2025,Q4,All,Total,100.0
2019,Q1,All,Employee,66.62782259796242
2019,Q2,All,Employee,67.52966765578216
2019,Q3,All,Employee,67.28443146524032
2019,Q4,All,Employee,67.20020222952515
2020,Q1,All,Employee,68.61058934347274
2020,Q3,All,Employee,62.39226498728719
2020,Q4,All,Employee,74.10938626422163
2021,Q1,All,Employee,74.87244211695614
2021,Q2,All,Employee,75.87097786294039
2021,Q3,All,Employee,70.70411286226638
2021,Q4,All,Employee,74.70487826838298
2022,Q1,All,Employee,75.19943217114779
2022,Q2,All,Employee,71.82405906416133
2022,Q3,All,Employee,70.87435461264752
2022,Q4,All,Employee,72.00480459169957
2023,Q1,All,Employee,70.0308306813238
2023,Q2,All,Employee,68.93289555991167
2023,Q3,All,Employee,67.07765324124541
2023,Q4,All,Employee,69.46337567934374
2024,Q1,All,Employee,69.54604341335693
2024,Q2,All,Employee,66.81151510043428
2024,Q3,All,Employee,64.35242073176879
2024,Q4,All,Employee,65.30623250662549
2025,Q1,All,Employee,67.15370098320308
2025,Q2,All,Employee,63.517526676834436
2025,Q3,All,Employee,63.104349882566346
2025,Q4,All,Employee,65.4038735597602
2019,Q1,All,Employer (with regular employees),1.132467589047167
2019,Q2,All,Employer (with regular employees),1.1102486262589661
2019,Q3,All,Employer (with regular employees),1.4308663913354371
2019,Q4,All,Employer (with regular employees),1.245225199348939
2020,Q1,All,Employer (with regular employees),1.2893526934658797
2020,Q3,All,Employer (with regular employees),1.0090123529471502
2020,Q4,All,Employer (with regular employees),1.1238025332662844
2021,Q1,All,Employer (with regular employees),0.9796679486800368
2021,Q2,All,Employer (with regular employees),0.8460434618234423
2021,Q3,All,Employer (with regular employees),1.2601371702871138
2021,Q4,All,Employer (with regular employees),0.7830922105406245
2022,Q1,All,Employer (with regular employees),1.5798371857307572
2022,Q2,All,Employer (with regular employees),1.3257518035541231
2022,Q3,All,Employer (with regular employees),1.0442274222211758
2022,Q4,All,Employer (with regular employees),0.8634839412969495
2023,Q1,All,Employer (with regular employees),1.671502037956741
2023,Q2,All,Employer (with regular employees),0.7861633851335705
2023,Q3,All,Employer (with regular employees),1.4130351825007426
2023,Q4,All,Employer (with regular employees),1.2636905604306963
2024,Q1,All,Employer (with regular employees),1.7568277199087792
2024,Q2,All,Employer (with regular employees),1.4234838154484133
2024,Q3,All,Employer (with regular employees),1.773295745090099
2024,Q4,All,Employer (with regular employees),1.590092510120136
2025,Q1,All,Employer (with regular employees),2.128681627365047
2025,Q2,All,Employer (with regular employees),1.9830953364453934
2025,Q3,All,Employer (with regular employees),2.203463565702144
2025,Q4,All,Employer (with regular employees),2.282139821813188
2019,Q1,All,Own account worker( without regular employees),27.751131225502444
2019,Q2,All,Own account worker( without regular employees),27.85512221675017
2019,Q3,All,Own account worker( without regular employees),27.483867562205795
2019,Q4,All,Own account worker( without regular employees),27.670600808150898
2020,Q1,All,Own account worker( without regular employees),25.848681708283728
2020,Q3,All,Own account worker( without regular employees),30.71338991162298
2020,Q4,All,Own account worker( without regular employees),22.770526743384405
2021,Q1,All,Own account worker( without regular employees),22.44422817919986
2021,Q2,All,Own account worker( without regular employees),21.74697604814044
2021,Q3,All,Own account worker( without regular employees),24.091303046125855
2021,Q4,All,Own account worker( without regular employees),22.44738297281545
2022,Q1,All,Own account worker( without regular employees),21.458261631831835
2022,Q2,All,Own account worker( without regular employees),24.50878127909954
2022,Q3,All,Own account worker( without regular employees),23.69162165222462
2022,Q4,All,Own account worker( without regular employees),24.38439498661119
2023,Q1,All,Own account worker( without regular employees),25.374686889354397
2023,Q2,All,Own account worker( without regular employees),27.254265463182254
2023,Q3,All,Own account worker( without regular employees),28.83115292631246
2023,Q4,All,Own account worker( without regular employees),26.355452577766137
2024,Q1,All,Own account worker( without regular employees),25.727510159403376
2024,Q2,All,Own account worker( without regular employees),28.670789409087703
2024,Q3,All,Own account worker( without regular employees),29.515948428302817
2024,Q4,All,Own account worker( without regular employees),29.254990948789818
2025,Q1,All,Own account worker( without regular employees),26.309192223203958
2025,Q2,All,Own account worker( without regular employees),29.607460478443386
2025,Q3,All,Own account worker( without regular employees),29.397237737403014
2025,Q4,All,Own account worker( without regular employees),27.96139493103421
2019,Q1,All,Member of cooperative,0.5591662870911441
2019,Q2,All,Member of cooperative,0.203471770400604
2019,Q3,All,Member of cooperative,0.31804188590023885
2019,Q4,All,Member of cooperative,0.31196286537816315
2020,Q1,All,Member of cooperative,0.24442345201134813
2020,Q3,All,Member of cooperative,0.16349225702277623
2020,Q4,All,Member of cooperative,0.06535290369822415
2021,Q1,All,Member of cooperative,0.14309665624608475
2021,Q2,All,Member of cooperative,0.045592362365070305
2021,Q3,All,Member of cooperative,0.1779831326481925
2021,Q4,All,Member of cooperative,0.04504424951157088
2022,Q1,All,Member of cooperative,0.028245137680076124
2022,Q2,All,Member of cooperative,0.0178191857880283
2022,Q3,All,Member of cooperative,0.14980030693760074
2022,Q4,All,Member of cooperative,0.14065344499758936
2023,Q1,All,Member of cooperative,0.18731576478658704
2023,Q2,All,Member of cooperative,0.25425300213415775
2023,Q3,All,Member of cooperative,0.1317759050788323
2023,Q4,All,Member of cooperative,0.06178435169661386
2024,Q1,All,Member of cooperative,0.04334533877788831
2024,Q2,All,Member of cooperative,0.04265742412401421
2024,Q3,All,Member of cooperative,0.05608417974262074
2024,Q4,All,Member of cooperative,0.034890051687140544
2025,Q1,All,Member of cooperative,0.07308159430099782
2025,Q2,All,Member of cooperative,0.060662348850339574
2025,Q3,All,Member of cooperative,0.05460307102356959
2025,Q4,All,Member of cooperative,0.04279996122553592
2019,Q1,All,Contributing family worker,3.929412300396193
2019,Q2,All,Contributing family worker,3.3014897308084197
2019,Q3,All,Contributing family worker,3.482792695317859
2019,Q4,All,Contributing family worker,3.5720088975968913
2020,Q1,All,Contributing family worker,4.006952802766797
2020,Q3,All,Contributing family worker,5.7218404911199
2020,Q4,All,Contributing family worker,1.9309315554304267
2021,Q1,All,Contributing family worker,1.5605650989178723
2021,Q2,All,Contributing family worker,1.4904102647306585
2021,Q3,All,Contributing family worker,3.76646378867245
2021,Q4,All,Contributing family worker,2.019602298749367
2022,Q1,All,Contributing family worker,1.734223873609535
2022,Q2,All,Contributing family worker,2.323588667396972
2022,Q3,All,Contributing family worker,4.239996005969467
2022,Q4,All,Contributing family worker,2.6066630353945186
2023,Q1,All,Contributing family worker,2.7356646265784597
2023,Q2,All,Contributing family worker,2.7724225896383468
2023,Q3,All,Contributing family worker,2.546382744862546
2023,Q4,All,Contributing family worker,2.8556968307628106
2024,Q1,All,Contributing family worker,2.926273368553019
2024,Q2,All,Contributing family worker,3.051554250905602
2024,Q3,All,Contributing family worker,4.302250915095671
2024,Q4,All,Contributing family worker,3.8137939827774097
2025,Q1,All,Contributing family worker,4.335343571926918
2025,Q2,All,Contributing family worker,4.831255159426447
2025,Q3,All,Contributing family worker,5.240345743304926
2025,Q4,All,Contributing family worker,4.309791726166871
2019,Q1,Male,Employed population aged 16+,1778662.6736539418
2019,Q2,Male,Employed population aged 16+,1841887.9596653956
2019,Q3,Male,Employed population aged 16+,1792066.6859785162
2019,Q4,Male,Employed population aged 16+,1898636.1830800022
2020,Q1,Male,Employed population aged 16+,1945486.6441105518
2020,Q2,Male,Employed population aged 16+,1808329.9189567566
2020,Q3,Male,Employed population aged 16+,2113800.9512634277
2020,Q4,Male,Employed population aged 16+,1885454.2991530162
2021,Q1,Male,Employed population aged 16+,1748038.1011924744
2021,Q2,Male,Employed population aged 16+,1776461.1348571777
2021,Q3,Male,Employed population aged 16+,1813058.2206611633
2021,Q4,Male,Employed population aged 16+,2002299.1304745674
2022,Q1,Male,Employed population aged 16+,1949118.9244995117
2022,Q2,Male,Employed population aged 16+,1875695.9197235107
2022,Q3,Male,Employed population aged 16+,2095381.076753091
2022,Q4,Male,Employed population aged 16+,1990619.8827268237
2023,Q1,Male,Employed population aged 16+,2059803.1013069153
2023,Q2,Male,Employed population aged 16+,2175512.2425308228
2023,Q3,Male,Employed population aged 16+,2248639.8181419373
2023,Q4,Male,Employed population aged 16+,2222880.141635895
2024,Q1,Male,Employed population aged 16+,2346249.8633270264
2024,Q2,Male,Employed population aged 16+,2347795.0636138916
2024,Q3,Male,Employed population aged 16+,2519344.8046875
2024,Q4,Male,Employed population aged 16+,2489254.5567474365
2025,Q1,Male,Employed population aged 16+,2502420.954284668
2025,Q2,Male,Employed population aged 16+,2470663.182373047
2025,Q3,Male,Employed population aged 16+,2666343.2031784058
2025,Q4,Male,Employed population aged 16+,2588345.9426498413
2019,Q1,Male,Total,100.0
2019,Q2,Male,Total,100.0
2019,Q3,Male,Total,100.0
2019,Q4,Male,Total,100.0
2020,Q1,Male,Total,100.0
2020,Q3,Male,Total,100.0
2020,Q4,Male,Total,100.0
2021,Q1,Male,Total,100.0
2021,Q2,Male,Total,100.0
2021,Q3,Male,Total,100.0
2021,Q4,Male,Total,100.0
2022,Q1,Male,Total,100.0
2022,Q2,Male,Total,100.0
2022,Q3,Male,Total,100.0
2022,Q4,Male,Total,100.0
2023,Q1,Male,Total,100.0
2023,Q2,Male,Total,100.0
2023,Q3,Male,Total,100.0
2023,Q4,Male,Total,100.0
2024,Q1,Male,Total,100.0
2024,Q2,Male,Total,100.0
2024,Q3,Male,Total,100.0
2024,Q4,Male,Total,100.0
2025,Q1,Male,Total,100.0
2025,Q2,Male,Total,100.0
2025,Q3,Male,Total,100.0
2025,Q4,Male,Total,100.0
2019,Q1,Male,Employee,66.9840885296574
2019,Q2,Male,Employee,68.27923456167107
2019,Q3,Male,Employee,68.22903948582952
2019,Q4,Male,Employee,68.3444219963718
2020,Q1,Male,Employee,68.56693659824488
2020,Q3,Male,Employee,65.75670995139436
2020,Q4,Male,Employee,75.29102688257763
2021,Q1,Male,Employee,75.47058673146158
2021,Q2,Male,Employee,76.17118096559831
2021,Q3,Male,Employee,72.26486255801761
2021,Q4,Male,Employee,75.51365581039835
2022,Q1,Male,Employee,75.6502148908164
2022,Q2,Male,Employee,72.94970236494326
2022,Q3,Male,Employee,72.35378240507806
2022,Q4,Male,Employee,71.18459976825434
2023,Q1,Male,Employee,70.1770417599058
2023,Q2,Male,Employee,69.15567819032391
2023,Q3,Male,Employee,68.46946810418102
2023,Q4,Male,Employee,70.63587795271519
2024,Q1,Male,Employee,69.51510101104888
2024,Q2,Male,Employee,68.59945070372106
2024,Q3,Male,Employee,67.39364743574842
2024,Q4,Male,Employee,66.05343254557454
2025,Q1,Male,Employee,66.99602382408885
2025,Q2,Male,Employee,66.04867625616886
2025,Q3,Male,Employee,66.15799292548674
2025,Q4,Male,Employee,66.29737260911733
2019,Q1,Male,Employer (with regular employees),1.7374319262536884
2019,Q2,Male,Employer (with regular employees),1.407595882994309
2019,Q3,Male,Employer (with regular employees),1.860231948235509
2019,Q4,Male,Employer (with regular employees),1.7383918274673111
2020,Q1,Male,Employer (with regular employees),1.4270114010793225
2020,Q3,Male,Employer (with regular employees),1.3130733057259696
2020,Q4,Male,Employer (with regular employees),0.9493967691522033
2021,Q1,Male,Employer (with regular employees),1.0745901928214867
2021,Q2,Male,Employer (with regular employees),0.888630695604185
2021,Q3,Male,Employer (with regular employees),1.6586739019701104
2021,Q4,Male,Employer (with regular employees),0.8221898306073637
2022,Q1,Male,Employer (with regular employees),1.7261796927890445
2022,Q2,Male,Employer (with regular employees),1.4266832641370386
2022,Q3,Male,Employer (with regular employees),1.1951398768912704
2022,Q4,Male,Employer (with regular employees),1.0453319626503395
2023,Q1,Male,Employer (with regular employees),1.6701711155356938
2023,Q2,Male,Employer (with regular employees),1.004979534430867
2023,Q3,Male,Employer (with regular employees),1.3440531994806344
2023,Q4,Male,Employer (with regular employees),1.45080592204988
2024,Q1,Male,Employer (with regular employees),2.2617701148636438
2024,Q2,Male,Employer (with regular employees),1.5335900146138568
2024,Q3,Male,Employer (with regular employees),2.2055530686063403
2024,Q4,Male,Employer (with regular employees),2.1761435441691095
2025,Q1,Male,Employer (with regular employees),2.6597550754641333
2025,Q2,Male,Employer (with regular employees),2.251181929186712
2025,Q3,Male,Employer (with regular employees),2.620439195758377
2025,Q4,Male,Employer (with regular employees),2.7508204351435053
2019,Q1,Male,Own account worker( without regular employees),29.063327500478803
